duration;iterationCount;patternLength;textLength
867541;5774;96;6569
1276792;8753;2665;5908
732667;4974;1374;3763
420000;6394;116;9163
684334;7238;3162;6894
499667;7416;699;9040
840083;10687;4143;8543
871250;14484;4716;9434
576833;9681;2908;6696
45792;735;231;614
513542;5718;1277;9150
12958;167;45;266
179333;2144;316;4141
38708;611;148;4138
8666;113;52;214
70833;1189;298;3717
110000;1828;589;1339
216375;3904;83;5658
329000;8653;2405;6196
140666;2130;915;6574
288625;6091;582;9154
200167;773;46;1554
501750;4091;1415;4106
330166;912;194;2322
188375;1983;783;1634
1563333;7366;2852;6816
271958;4615;1459;5785
127375;4153;1204;4086
243750;5574;2316;8155
617166;4371;969;3628
67250;966;176;847
106292;2899;1059;3080
93583;2965;731;2185
515375;7239;3216;7488
675333;12628;3774;9452
21792;826;167;1706
673625;8310;3291;8317
68000;3473;148;3988
355708;3906;1514;8233
106916;2416;431;1932
223458;6374;2383;7152
590958;5704;2159;4333
1082292;8992;3890;8842
120458;5778;1080;7096
312125;5970;1764;5123
39083;1289;438;915
92375;2977;1042;4120
123625;5279;776;9406
322792;9905;130;9977
29459;1495;418;1102
72834;3713;432;7605
467708;8055;1278;8791
17417;301;109;426
165792;9842;4294;9075
41500;2592;251;2276
21833;1317;276;1522
82875;4943;1861;4668
127916;7115;3039;7705
309459;5731;953;5921
162792;3509;412;5332
24291;1348;340;5298
8125;475;23;467
93375;4994;1954;7954
45042;2719;1043;7971
127708;7673;2862;7360
113667;6414;2744;8251
185416;8733;2840;5901
145542;3347;936;2408
102000;6113;1232;7934
31167;1919;295;6503
12416;715;235;561
58500;3609;767;6983
152792;3478;904;8275
30375;1651;83;1544
141584;8629;2866;6552
42334;785;281;574
75250;4655;711;6197
8541;259;73;187
9708;561;223;1107
183875;9256;3763;8197
135792;8280;1540;7804
47000;2932;154;2732
148167;3407;572;3961
85709;1134;191;3237
33209;1557;357;1336
169208;7094;3093;8041
174417;9437;2564;9542
82458;2178;56;3331
288875;12008;3787;8362
23416;409;130;308
273791;3287;211;7673
456792;9130;2943;9767
66625;4088;761;8007
22125;1311;590;1570
130875;5949;959;7995
43916;2704;540;2185
12917;799;45;752
9625;569;133;1138
21583;1313;29;1803
208417;10762;3263;7782
132291;4237;870;6970
3250;152;19;142
3667;209;45;336
42250;2549;988;5502
269333;7541;3383;7840
139125;6405;1359;5396
250167;5749;2188;6978
126959;7373;1873;5700
48000;960;223;1593
506916;7966;3905;9836
48084;2770;773;2682
179500;2830;975;2276
21250;1300;108;1243
154083;9528;2508;8062
111958;6136;1442;5606
6709;378;134;289
225500;12395;3724;9577
546125;10328;2568;9776
25917;1341;84;2017
301833;7721;821;7593
154667;5185;1925;9392
37666;1808;137;1821
214750;6420;927;5726
939542;13528;3747;9954
75125;4304;1739;3961
376000;6449;1708;9125
546750;6480;2134;4344
118250;2372;725;3362
187750;8932;2042;9937
224875;4073;1421;7465
30375;406;70;2104
50709;2685;1245;3705
27875;2941;333;6964
16000;5715;1398;5302
18541;5837;657;6310
12167;4960;1882;3839
20542;6473;1398;5344
10250;6511;3067;7080
13542;5008;2039;9675
24166;8294;2252;8269
27792;8788;2051;7454
9000;2724;156;3659
28459;8579;26;8286
13584;2829;444;6376
38459;13211;3463;9561
1833;353;41;357
7208;5235;706;5328
3000;2792;1285;6268
115625;8249;1886;6388
7333;4067;1779;5011
97625;3723;1092;5120
60417;8273;3027;8840
6500;2320;779;1619
13500;8731;725;8096
9084;5820;2037;6900
5125;4340;692;3535
28459;6118;1291;4667
11041;8920;3969;9163
2833;2540;996;3627
1958;1601;753;3357
2208;1460;169;1676
10708;9833;4041;9795
