duration;iterationCount;patternLength;textLength
914459;5370;2514;6291
123750;1556;260;1687
1184459;14523;4875;9814
186708;2938;615;2632
350958;5816;1824;4317
286875;4563;1762;4166
325250;2044;484;1528
212125;1828;494;1332
533541;3925;980;3315
302458;3987;70;5402
266958;4595;740;3921
836542;8610;2995;7699
119250;2020;286;2221
1096834;10562;3208;9209
79000;687;134;1045
522667;3802;811;3533
294083;2304;204;2237
621292;3077;1169;8279
377709;3231;676;2780
736667;5960;2191;5129
495791;7759;2907;9753
851625;10243;4070;9768
408291;6619;3181;6918
57000;1419;426;8147
103084;4131;809;7518
31583;1385;200;1576
207125;8007;1768;6162
152500;6156;1240;5870
101084;3281;955;7572
16875;593;152;485
63625;2100;682;4627
189667;5819;2023;5055
78917;2834;692;4746
60917;2219;473;1909
42666;1495;328;5148
350917;10087;3959;9727
27791;1066;180;7257
91667;2534;1100;2312
99875;6077;49;7877
182875;5435;2017;7146
296541;5020;313;5989
485583;5798;2222;4971
61583;1770;721;2355
441125;11044;4052;9984
51709;2544;213;5031
149292;6460;1677;6379
152542;8799;2080;6960
91667;5444;1346;6417
96958;4020;1679;4366
151000;6482;1193;7383
108459;6612;2034;6887
3208;78;10;145
43042;2665;455;2244
32000;1985;182;3577
235167;8758;3508;8292
41667;2542;459;2467
154083;9181;2868;8983
3083;143;16;137
108458;6559;1290;7190
174833;9100;3819;7771
115125;7111;912;6709
21542;1321;109;5540
242459;12764;3873;8738
508500;5824;2770;7833
596042;10006;3300;9632
180584;4846;865;4227
79375;4563;1033;3611
231834;4686;1693;4576
226542;4566;1994;5690
108042;5322;2093;7003
237042;10270;2379;8299
42875;2485;1131;2826
532917;1983;752;1630
118875;7189;2711;6009
21125;1285;293;4444
95791;5934;1066;5013
77084;4788;860;4850
7625;455;76;456
150083;2748;1211;2458
183166;9091;2903;6996
79291;3606;1243;2694
42000;2601;210;2957
89375;5443;1850;8189
214583;8620;3113;7086
9167;535;44;587
102959;2353;1104;3069
8708;401;183;408
23458;1157;315;2297
49541;2649;437;5797
225584;9411;4061;8945
293583;9089;4072;8638
122125;7578;995;7584
100375;6862;1457;5298
77500;4004;1525;6469
170083;7401;1657;5963
14875;887;234;4833
49750;3143;43;5847
74000;4550;1319;6172
100958;5886;1975;7838
21917;1315;577;1385
85458;5172;2406;7857
46750;2830;833;2897
107083;3332;572;4592
228917;10903;2009;8908
30917;1101;538;1248
304500;11114;2969;8971
49334;3034;458;3768
208959;10279;3402;7181
151000;9358;2467;6994
120459;10402;2553;9156
98291;6148;688;7693
112125;5821;1220;4896
47083;2754;1208;3196
71167;3783;927;8746
147834;5564;1558;8858
7333;420;79;1220
145417;7864;685;8889
64959;4005;1070;3158
100584;6120;2272;8302
109959;4148;1271;3264
109000;6584;2496;6512
195334;12689;4402;9116
111666;7095;450;6589
95250;4061;1324;9802
15042;143;21;267
27417;1710;132;1990
59667;3784;18;5274
23833;1438;490;1185
105416;6239;1733;9554
17042;1017;416;984
3125;80;35;190
46583;2869;873;8777
70250;4204;1663;7220
110250;3878;853;5022
87959;5466;1247;5253
32292;2005;349;1727
26625;1648;390;2425
110000;6598;2650;5352
79459;4773;1797;3716
154750;8725;1618;9669
158833;9746;2781;6725
148667;8032;3813;8439
142792;8814;2195;7730
103209;3474;1283;6082
69958;4123;1796;4536
58625;3543;1642;3444
58709;3302;228;4507
129458;8198;285;7694
125750;12103;3024;8810
6916;403;98;322
37958;2337;667;1680
233916;12915;4598;9567
145042;8568;1288;9029
37333;2263;977;2804
38208;2364;457;3704
29542;1809;559;1354
37792;2278;1060;2309
33084;2059;400;3407
121625;4437;2057;8055
97375;5731;1966;8738
13083;789;143;2105
30708;1902;421;1444
10125;611;222;793
120625;2702;1026;3393
72291;2316;1046;4456
112166;6965;1529;5402
32792;1288;301;2859
79666;4827;1395;6172
226250;15083;4736;9988
9042;2767;941;5137
6083;5142;1038;9858
8417;6420;1237;6380
3875;3166;204;4273
8875;7564;2600;7270
8542;8403;2823;7018
5125;4313;752;6140
10417;9120;1682;9392
7500;5908;1630;4715
10708;8737;3021;9851
3292;1866;724;1631
9958;8873;3068;7390
3709;3350;1160;2735
9750;8402;1103;8694
4625;3553;1098;2994
1958;1739;553;7770
12834;11624;2148;9266
4042;3491;521;4287
3750;3605;1329;5933
4791;4712;1741;6022
2166;2018;852;3302
15667;14257;4137;9840
12500;11038;3203;9779
4583;3660;1143;4640
8459;6905;548;6650
2292;1690;91;4975
2041;1620;419;3395
4583;4466;1524;3215
458;122;33;111
13000;11787;3604;9108
6084;4661;1253;3433
2709;2301;115;2738
3167;3097;1090;3696
8000;7180;3248;8099
833;610;185;455
2875;2616;707;2484
7459;6642;3021;8161
4583;4393;1406;3232
7708;6986;1586;6605
2166;1874;463;3782
3041;2808;879;9996
3250;2077;258;6261
1417;874;357;1616
2709;1914;91;4285
3000;2066;131;5022
3666;3284;848;4572
2000;734;191;1259
291;130;32;645
6208;6232;2426;5008
14500;13669;4922;9881
8250;5734;1467;6745
11375;9274;2088;8147
7542;5208;701;4882
7250;7146;2726;5614
833;571;186;713
6833;6232;1667;4636
7916;4223;1068;3893
4583;3197;51;3074
1916;1351;214;4373
9625;7108;961;9157
4583;4024;1102;8079
3916;3329;597;2949
9250;7698;3135;7045
8834;7812;3114;9701
4125;3806;1222;6887
3375;3181;868;2420
2084;1956;661;2242
7125;6050;2192;4750
2291;2238;967;2657
7208;6339;1285;6297
9416;7220;3132;7328
2042;1664;393;2638
4500;3161;1363;3002
5125;5360;2199;4463
2000;1714;544;1557
5208;4410;632;4493
2041;1528;276;3193
2333;1713;210;1798
12625;11086;2923;8548
375;122;13;122
10666;9512;2975;6513
4416;3651;1759;3680
2958;2965;1256;3205
11708;10755;3575;7492
3292;1393;512;4516
7459;5829;94;5581
14666;12387;3284;9800
9417;3875;1893;4225
9625;6924;918;8877
5416;4168;277;5412
2459;1936;57;1846
2084;1646;365;6669
9458;8136;2828;6952
792;568;101;868
4042;3769;1013;4173
1542;1409;520;1604
1958;1812;825;1749
9583;8417;2509;7390
4708;4922;1975;5384
3792;3424;824;8227
5417;4320;173;4706
3833;3190;527;3298
2500;2272;644;5594
4083;3557;963;2590
6375;5092;1878;4321
9959;9408;3668;8198
8583;8683;3060;7625
9208;8843;2302;7296
1042;748;149;1713
5667;4027;1341;4599
2708;2708;1070;6236
4708;4371;1259;6432
7875;6512;1895;5276
3375;2791;330;2807
3083;2863;703;4128
31041;3905;579;4811
2292;1747;779;2295
10333;8312;2812;7366
3042;2635;747;2174
3959;2759;128;2909
4084;3063;527;2662
6250;3455;1133;2800
13000;11323;3312;9400
7750;5545;1110;9195
2500;1976;107;2099
1500;1191;318;1029
9292;7814;1335;6668
32750;10568;2945;9806
1625;974;10;1521
5000;4752;1515;3157
3833;4010;1775;4025
5708;5509;1634;4725
13709;11704;2574;9066
3666;2918;134;8316
1166;953;420;1064
12625;9710;1200;9433
1166;763;89;808
6000;6159;2794;9671
6750;5792;1265;4824
6000;5425;1765;9427
8958;8483;2014;7607
2125;1652;221;4425
4791;3756;1111;3028
11333;9852;1740;9485
11125;8996;1788;9881
5792;5130;1012;4183
5625;4574;1460;5381
8000;7835;2404;6143
3417;2695;239;9200
5708;4172;1108;3873
4667;4251;1139;3434
1166;990;328;1232
9625;8337;3856;8702
5375;4835;949;6196
19708;3357;648;3800
8042;5535;1361;5221
4416;3880;1253;2657
2417;1763;372;1665
917;740;213;2071
2583;1874;116;4392
4417;3495;286;4092
7333;6236;612;5457
2791;1529;629;5725
4291;3489;510;3525
667;457;83;418
750;477;123;1687
2375;1935;534;1502
8542;8028;2277;6852
7042;5723;114;5867
8375;7040;489;6837
6250;6438;2634;6978
584;472;93;387
5792;4704;91;6803
4791;4647;1510;3208
2583;2328;543;2557
9208;7465;2035;6728
13083;9692;860;9191
10667;6236;2269;6843
834;590;54;606
3875;2713;1225;7746
6125;4937;608;5693
3916;2551;1047;3208
6416;6259;2151;5610
9000;7787;3465;7872
6250;4808;1841;4806
5125;4163;1432;3943
12333;9250;2280;7432
834;428;161;1208
3458;2411;94;7123
6583;5191;2059;5982
4875;3499;1560;9841
8625;7415;2343;4865
5042;2782;136;4307
6083;5119;464;5280
6667;5692;916;4626
4000;2205;515;1626
19542;7243;2732;6092
1666;1404;466;1055
9792;8632;3026;9074
3375;2421;813;6452
5291;4717;1206;9147
8750;4630;948;4770
6750;5535;577;5503
11833;10022;3813;8404
11417;8987;1746;8354
5417;4085;1692;3486
11958;11248;4368;9170
2166;1804;209;2028
14209;12648;4124;8586
6625;6314;1353;5478
3583;2859;218;2789
4834;3951;1461;3224
4708;4931;2170;6127
16084;11632;3192;9113
13167;8581;1737;7283
12417;10746;3838;9387
10750;10026;4527;9063
4709;4839;2265;5619
7250;6406;2486;6499
1500;1070;86;1697
4792;3888;1851;5009
4250;3139;1334;4883
10334;9220;2582;7600
6542;5389;479;9698
4375;3630;359;3660
9416;7574;2017;5972
3833;3574;1148;3694
1750;1682;584;1220
4125;3571;316;4007
13375;11927;3021;9347
4292;2940;942;3753
13083;11198;2737;8400
10500;8972;2360;6398
875;712;210;743
500;340;69;333
2875;2947;1089;3165
6458;5404;1930;6657
10000;8138;3010;6983
5125;3067;559;6712
10958;10094;4390;9709
7958;6855;1327;7566
1875;1351;253;1250
7458;4269;1361;3935
12000;10997;3820;8649
1375;1238;322;1315
16209;3675;690;3306
1958;470;194;564
9875;8428;3870;8531
8375;7432;3094;6539
4209;3792;863;3040
750;410;49;397
7333;6415;1046;7416
625;325;98;257
7833;6983;2961;6817
11917;9343;1127;9078
10708;8888;1923;7403
4125;4463;2125;6383
6708;5492;2092;5629
3208;3146;1079;2305
6500;6275;2242;8091
7334;6252;402;7114
1833;1718;811;2237
8792;7234;289;8022
4042;2580;687;6945
3000;2406;95;4917
7041;6014;443;6256
1625;1420;363;2289
1083;867;225;705
6459;4597;1337;3187
5541;4220;1229;9032
6208;6519;2975;9756
1500;1328;447;1221
10667;8825;1861;8167
1375;1366;553;5048
1917;217;20;293
33250;6543;1728;5853
18375;6869;2080;5012
29125;6378;2400;7530
10000;8453;3116;6970
7291;5862;2415;5790
9333;8970;4358;8770
666;431;196;1069
6417;5713;1524;7373
9083;7935;2764;6238
2291;1924;411;2081
1125;816;72;923
8916;8040;1787;6736
11625;8576;3690;7785
3125;2269;469;2396
4167;2920;276;2533
8875;7541;2540;5216
7041;5996;1715;7006
709;381;150;334
14250;9876;3347;9831
5834;1295;57;3253
25250;9735;3188;8546
17542;5884;778;8869
11375;8687;634;9225
4625;4190;1466;5892
2708;2369;575;2080
8583;7132;2184;8650
1916;1711;718;3043
43291;10540;4128;9118
11750;2956;1005;3263
23666;7952;738;8710
11958;3402;736;3759
43125;2520;776;2015
12791;9835;323;9261
2875;1931;166;4059
5291;3475;1328;2681
1667;1428;401;1241
5125;5151;2182;6624
2625;2348;883;1983
15708;14029;4641;9639
2750;2141;157;1995
5292;5033;1545;9119
1417;1106;339;6846
2750;2681;1144;5720
5042;4369;1154;7255
4041;3093;1416;3678
45292;3699;130;3610
2292;857;288;798
9000;7242;1898;6086
6125;4941;585;9335
2000;1702;458;1213
625;272;88;194
708;603;224;1049
1666;1431;506;3518
9667;7970;2064;6539
4958;4076;423;8337
3125;2322;106;3037
4625;4620;1833;4264
10875;9368;720;9522
12209;9560;2949;6443
23583;7601;3297;8611
5500;4599;1531;3631
4209;3246;60;5326
6250;5523;1349;6799
11667;9504;237;9288
6583;5208;47;7286
10041;9220;2032;8151
1708;1397;493;2110
43625;6571;2610;6114
2833;1281;510;1777
5750;2997;1327;4063
2958;2232;1092;7460
8833;7356;2006;7901
23250;7137;1780;5765
14000;12035;4332;9455
3458;2911;641;3765
45208;8128;2799;8315
8375;2770;863;2961
4750;1243;56;1375
6250;2486;1148;2665
5125;4058;1682;9248
1625;873;76;7851
5125;4416;948;4296
4084;3148;1509;7450
6750;5299;1548;4640
3167;2816;789;2989
3833;3321;658;3595
13375;11678;3387;8131
8333;7938;3644;9337
9000;7913;3028;8945
18625;5026;915;3958
22042;6996;16;7658
7167;5417;2120;7393
11792;10159;3392;7166
9667;9380;3174;6472
9291;8437;2271;6712
4750;3624;1225;3400
7833;8017;3562;7805
3250;3365;1574;3942
1334;1211;306;2312
10000;8163;2022;7215
8208;7436;1539;7134
5209;5249;1833;4069
8334;6998;698;6790
7375;6035;254;6167
1750;1347;130;1572
9167;8211;3235;6661
3083;2465;83;6301
5250;5674;2625;9472
13709;12688;3674;8844
6208;4152;509;4387
3125;1030;419;1591
6750;5193;63;7132
14500;3987;81;5389
15000;4763;1637;3959
12625;7216;1197;6600
5709;3861;1508;4672
20625;5652;1803;4224
6291;4000;1427;2877
6750;4893;69;5293
7541;6811;1845;4851
10083;9475;2868;7448
8542;7035;2110;5235
19708;7043;1814;5199
1208;562;70;677
13459;8576;477;8230
9792;3004;638;5213
20292;520;195;649
51750;10845;4335;8873
1875;844;119;1474
6292;4284;1417;4171
958;482;12;1734
1750;1187;92;2907
4334;2871;1103;4365
2875;453;91;2048
9250;5977;890;7879
875;671;115;771
4042;4335;1882;4250
833;714;249;3148
7125;6552;2815;7608
1583;1245;106;1773
583;310;106;283
10291;9697;3815;7727
1167;961;339;1104
2250;1640;41;3438
8541;7013;232;9862
667;488;128;379
5417;3796;1340;3500
1333;1181;564;1423
3542;2105;659;3048
3208;3211;1127;2835
375;110;30;732
875;658;181;1303
4583;3811;352;3738
3375;3296;1345;2750
21500;7805;3650;7860
18417;6252;1399;4877
3916;1120;430;1555
3041;902;265;2002
6417;2320;810;5026
9584;3955;1916;5273
15167;5541;1277;4455
5834;2161;774;2860
9667;3917;1627;9514
16750;5633;872;8277
7083;2455;899;1979
9542;2891;325;8956
2292;588;165;518
4334;1555;649;1357
23959;7594;610;7682
2292;627;279;1036
5542;1766;121;4580
8625;5135;664;4981
13041;10347;3764;9219
3584;2536;1002;2152
4167;3387;877;2984
8125;6849;2537;7444
2292;1779;181;5263
3166;2799;388;2496
10791;7655;1061;7657
7583;6089;1967;4993
5875;4396;1324;4488
542;303;58;1379
8709;7058;369;6569
36625;9682;2885;8331
9208;6925;295;8472
2666;1834;31;6239
3792;3175;1092;3285
4875;4710;1617;4904
5833;4469;1914;4510
4208;3325;1592;4243
3042;2006;264;4508
3167;1199;479;1122
750;394;87;628
9708;8357;3042;6188
2459;1225;468;940
4083;3765;1616;3963
3167;2294;623;3747
9167;7548;3204;7711
3333;2438;751;1897
834;352;169;784
6167;1569;595;2156
17417;11279;2334;9643
542;261;47;1207
4542;2516;813;8994
583;196;82;494
3167;1896;386;1982
6042;5638;2100;6175
6791;6121;1582;5317
6167;4667;269;6186
5458;5242;2050;5770
6250;5411;1966;8066
1042;843;376;1943
10750;3649;1416;8837
10083;9773;3869;7902
958;745;281;1420
1833;1439;314;1270
3875;3064;403;4605
3000;2986;1162;2330
13291;4365;1476;9125
3958;1012;397;942
9875;8644;2997;8986
667;87;12;1460
1125;772;332;1005
9125;9138;3804;8701
4458;3795;941;2857
9084;8457;2904;7386
28417;8389;1228;6925
11833;4059;1007;3040
13417;3987;306;3561
5167;760;353;824
17375;5443;534;6781
7625;3350;1442;5058
4000;3149;1056;3913
3208;2833;692;2258
5250;4201;184;5961
500;327;74;293
2208;1620;167;3202
750;325;107;217
6583;6193;2155;6204
6209;6211;2408;7476
417;98;35;104
2584;2278;598;2023
2209;1632;111;1660
56250;6652;1734;8444
4209;3101;794;7117
875;516;168;565
7333;5674;176;5325
19709;6114;699;8963
9583;7830;3744;9169
3375;2336;42;8417
3875;3207;691;3154
6542;5282;558;5525
4542;4094;704;6056
667;358;143;323
5458;5390;2074;6287
8792;8020;2551;5867
10334;8863;2759;9596
1125;941;176;3424
6208;4164;1695;3840
1250;1003;245;1227
3708;3310;811;8559
2666;2325;546;1899
4625;4487;1626;9431
38209;6332;2399;7062
12375;3567;1426;3633
4875;1495;528;1125
4833;1361;315;1300
11375;3624;249;7304
6333;5904;2651;6079
27584;9931;3687;8460
12292;7851;3007;7261
3792;3418;1400;2823
4791;4498;1383;9884
8500;7616;1662;6811
6667;4585;386;8278
3292;2371;972;2367
1292;732;297;722
14125;12950;4086;9345
1625;1344;401;1250
11041;3130;738;5011
5958;1693;571;3648
11917;10169;3564;7929
1458;1118;202;1087
7250;6045;1960;4961
792;402;172;1852
5750;5771;2039;6079
5417;3722;603;3451
7417;7175;2432;5213
2000;2064;978;2696
3041;2587;317;2600
2250;1763;225;2201
11500;10512;3348;6947
18000;14777;4918;9892
8041;6397;1288;5917
8416;7117;1825;8232
6208;5229;1784;3694
833;637;131;716
7208;6568;1399;5618
4666;4525;1542;4012
1250;1106;396;838
3333;2822;454;4276
7083;6807;1701;8258
2708;2173;226;4116
5208;4997;1385;4724
9458;9194;3842;8024
8042;7320;1521;7160
2959;2979;1322;2966
12292;11921;4250;9851
2541;2622;1146;2320
1667;1344;69;2291
5792;6457;3130;7264
2500;1997;165;2477
5167;3829;954;3056
7500;7307;2242;6983
12750;10819;3536;9807
5542;4436;1298;6543
2084;1717;147;2362
8667;7640;1202;7568
1292;948;98;1742
4500;4202;1363;4223
4291;4205;1420;2880
2125;1893;509;1708
3750;3190;542;4546
6042;4689;1046;8520
11375;8938;199;8812
12375;10882;2974;7812
19625;6421;1933;9676
17000;6333;2407;8022
9250;2696;952;6464
15917;5632;1462;5797
7125;2301;747;2232
3834;988;18;4440
3333;903;31;3458
11166;3770;468;3310
6291;1878;40;2528
14208;5361;1691;4413
11208;4668;2121;4612
5083;2237;906;2726
2916;2255;542;3451
2125;1812;712;1604
792;449;57;927
8709;6985;1012;7101
2292;1809;108;3093
1166;1103;465;1136
1084;887;207;770
4875;4570;1288;4107
6125;6244;2522;7195
458;105;11;126
8333;1863;754;2344
1834;396;112;283
10042;3535;1237;2961
12542;9305;125;8978
667;327;107;2441
14250;12303;4463;9010
3916;3392;652;5685
875;762;307;829
11250;9171;208;8687
1125;752;56;1055
1875;1462;175;1892
5583;5383;1742;5594
9667;9486;4084;8393
8833;7851;1199;7871
8250;8845;3839;9499
1250;948;302;933
10542;10424;3130;7120
1084;878;248;895
2292;1128;244;1858
6375;4917;507;8605
1125;941;416;1103
8167;6624;372;7345
11917;7738;1584;9475
2625;2364;733;9644
8416;7300;2499;5637
6625;5630;825;5816
10833;9394;2356;7970
11833;11353;3268;9912
7166;6731;1776;6952
1792;1475;294;1540
6584;6885;2449;5257
4125;2975;753;7338
7750;7573;3310;6805
500;483;224;915
9417;8636;2593;6699
5750;4854;375;4470
833;771;172;1088
10458;10412;4624;9772
4375;4201;1475;3919
5292;4612;990;7160
5833;5866;2237;7672
7542;7005;1863;6874
2042;2103;841;2184
10250;8675;679;8027
3125;3221;1550;3238
4000;3660;652;5688
417;275;65;468
5542;4761;1509;4941
5500;5366;1803;3630
4959;4598;1189;3476
10083;8200;140;9234
1000;778;43;962
542;436;160;713
1292;1268;322;2058
6625;6364;2963;8175
10791;9535;2418;7519
625;475;32;1249
3125;2748;498;4610
9417;8669;2926;7569
3250;2187;420;4039
9625;9166;3765;7889
6958;7003;2624;9951
4375;3236;1285;6531
792;511;214;431
959;730;160;644
5125;4187;187;5139
8833;7303;2881;7018
1500;1655;763;1686
9000;7533;818;9969
6666;4992;1631;7255
4958;3955;556;4006
19833;10482;2663;8670
4042;3131;1175;5673
7792;6713;896;7455
3667;3581;1503;9877
5250;4838;1350;4056
958;850;364;921
2791;2877;1312;2964
9541;9320;2530;7121
7208;1957;22;7287
4833;3850;679;5615
3166;2542;290;2430
2417;1733;117;3286
6167;5895;1573;8075
13417;6766;2319;4945
10625;10375;4087;9951
1083;876;216;2579
4125;4418;1882;3965
458;373;102;5765
1417;1241;238;1020
5834;5239;1980;8801
1750;1409;85;8762
2125;2069;844;5424
3750;3696;1204;2762
4209;3956;781;4381
7875;6986;1091;5826
5125;5109;1924;4465
7209;6383;1446;6131
10167;7804;2312;9623
9000;7821;2374;8720
22917;8353;3082;6557
1375;383;188;1215
10625;3479;592;4950
13750;11531;2497;9523
4458;4023;1098;3639
2583;1671;822;2805
334;192;20;241
2584;2398;802;2011
250;117;52;116
334;193;61;192
11000;8226;2503;9856
8209;7294;2279;7612
542;386;114;2387
375;350;154;3313
2250;1879;87;2583
2333;1956;52;1999
7375;5320;851;6812
7542;7152;3014;7116
2584;2162;684;2483
5625;5077;1878;7266
583;531;197;680
7000;6244;1132;5614
5584;5134;719;9394
4250;3300;1064;4315
4250;3976;1053;5830
666;642;282;2958
2875;2530;309;3052
1791;1760;702;2093
1000;973;330;1095
666;530;37;1059
10959;10299;2443;9272
5000;4761;1190;6897
5500;4775;793;4229
2542;2311;639;2803
5000;4067;137;3800
1625;1610;597;1361
10167;8419;1278;8262
959;854;166;1371
625;518;125;905
3875;3145;262;3777
3542;3263;892;4312
3458;3048;321;3842
3458;3438;1013;2580
4916;3193;156;5540
9416;8299;2172;8194
6750;5474;24;8609
916;686;132;772
4791;4135;499;8897
3334;3498;1240;4984
1833;1823;826;3600
875;860;297;645
4708;4515;1625;5213
3084;2361;103;2792
4708;3925;532;3705
792;709;109;670
708;558;79;9466
5542;4411;1191;5097
10583;8473;268;9927
2875;2092;876;2526
9542;8964;3009;8333
5542;5313;1993;4464
1084;916;234;1415
500;405;139;287
625;609;206;528
4000;3745;923;3338
8542;8275;3292;6818
12041;11663;3451;8554
7542;5642;1341;5860
5166;4880;1547;3348
8333;6937;2183;4916
5417;4218;1607;4423
4042;4023;1366;3717
3959;2714;369;3338
666;607;195;924
4166;4453;2181;4370
9833;9547;2842;6920
11584;11066;3841;8422
9125;6930;1988;6975
2875;1410;272;9044
3750;3135;113;6260
6666;6185;2912;6007
709;567;62;3981
6125;5282;1024;6014
9625;8219;575;9323
6167;4028;755;4066
10042;5793;1595;9518
7708;5909;2757;6207
9667;7983;176;9009
3625;3089;258;3803
5167;4403;1067;5325
4625;3387;1328;2766
7750;4910;1267;4335
459;346;86;454
10625;8918;2946;9755
3333;2571;310;2198
708;720;229;487
5917;5359;2000;4200
2041;1734;672;1753
3125;2420;458;2290
1458;1196;271;5122
7125;5801;1445;4686
1708;1421;567;5597
4000;3662;1168;4874
24750;8749;2495;9867
15917;5774;2472;5074
9000;7487;2819;5864
8500;6320;795;6090
8417;7360;2896;6554
6958;6553;1898;6156
3875;3454;868;5820
8500;8305;2814;6169
2666;2877;1272;8812
5125;5071;1675;4300
2875;2401;1108;3226
792;557;208;747
6666;6046;1990;6687
3500;3142;822;3722
8541;7768;2825;8512
